-,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
Fish Fry,1,piece,150gram,211,13,15,11,,55,300,,,,,,,,,,,,,,,,,
Pani Puri,1,piece,,36,0,4,2,,50,,,,,,,,,,,,,,,,,,
Mutton Biriyani,1,plate,150gram,211,9,30,7,,67,,,,,,,,,,,,,,,,,,
Lassi,1,large cup,250 ml,134,7,22,2,,30,,,,,,,,,,,,,,,,,,
Chicken Biriyani,1,plate,150gram,210,10,30,6,,68,,,,,,,,,,,,,,,,,,
Sandwich,1,piece,2 slice bread,155,6,28,2,,69,,,,,,,,,,,,,,,,,,
Chicken Popcorn,1,piece,6.4gram,22,1.1,1.4,1.4,,40,,,,,,,,,,,,,,,,,,
Omlet,1,piece,1egg,110,7,0.5,8.5,,55,,,,,,,,,,,,,,,,,,
Yogurt,,,,,,,,,21,230,,,,,,,,,,,,,,,,,
Beef Curry,1,large cup,118,130,12.5,3.8,7,,60,,,,,,,,,,,,,,,,,,
Fish Curry,1,large cup,117.5gram,131,14,6,5.5,,55,340,,,,,,,,,,,,,,,,,
Tea Sugarless,1,small cup,150ml,5,0,1,0,,10,,,,,,,,,,,,,,,,,,
7Up,,250ml,,94,0,23,0,,,,,,,,,,,,,,,,,,,,
Sprite,,250ml,,120,0,30,0,,,,,,,,,,,,,,,,,,,,
Rum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whisky,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodka,180 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodka,60ml,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodka,30 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodka,90 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanuts Roasted,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papad Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Papad,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kfc Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Burger,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domino Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharbat,,,,,,,,,,,,,,,,,,,,,,,,,,,
