itemID,Item,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
654,Shallots + wine sauce,1,portion,23.6,18.4,0.3,1,1.6,0.2,55,29.2,22,,0.2,0.5,,,,,,,,,,,,,
655,Crispy Shallots,1,portion,,20,0.3,3,1,1,55,60,,,,2,,,,,,,,,,,,,
656,Falafel salad ,1,cup,344,547,16,36,40,4.5,55,200,410,,16,25,,,,,,,,,,,,,
657,Baked Falafel,1,piece,18,53,1.2,4.3,3.5,1,55,45,35,,0.7,2.6,,,,,,,,,,,,,
658,Persian Tahchin,,,85,170,5.8,13,10,0.5,55,96,44,,2.4,4.7,,,,,,,,,,,,,
659,Persian Abgoosht ,1,cup,249,269,19,37,5.8,0.5,55,40,507,,6.1,25,,,,,,,,,,,,,
660,Persian Tea,1,cup,,90,0.4,24,0.2,0.1,55,50,,,2,,,,,,,,,,,,,,
661,Persian Zoolbia  ,1,piece,92,336,1.5,56,12,0.3,55,56,46,,3.1,1.5,,,,,,,,,,,,,
662,Frittata ,1,piece,182,291,24,4.4,20,0.5,55,70,1028,,19,11,,,,,,,,,,,,,
663,Potato Frittata,1,cup,182,333,18,13,1.3,23,70,436,428,,19,13,,,,,,,,,,,,,
664,Cock & Leekie Soup,1,cup,231,231,20,14,11,1.8,60,312,177,,4.2,15,,,,,,,,,,,,,
665,alasandhi kaal Baaji,1,cup,100,100,4.5,13,3.5,1,51,190,7,180,,,,,,,,,,,,,,,
666,lobia Baaji,1,cup,100,100,4.5,13,3.5,1,51,190,7,180,,,,,,,,,,,,,,,
667,black eyed peas Baaji,1,cup,100,100,4.5,13,3.5,1,51,190,7,180,,,,,,,,,,,,,,,
668,pine apple,1,cup,,82,0.9,21.6,0.2,,50,190,1.7,13,21,0.5,,,,,,,,,,,,,
669,strawberry,1,cup,,6,0.1,1.4,0.1,,30,27,0.2,4,3,0.1,,,,,,,,,,,,,
670,water melon,1,slice,,86,1,22.7,0.4,1,70,320,,,,,,,,,,,,,,,,,
671,musk melon,1,cup,,60,1.5,16,0.2,1,45,400,26,28,16,0.4,,,,,,,,,,,,,
672,Hesar bele palya,1,small cup,100,118,5,20,2.5,2.4,40,360,232,180,,,,,,,,,,,,,,,
673,egg Biriyani,1,plate,150gram,350,11,48,13.2,,68,70,,,,,,,,,,,,,,,,,
674,Chicken savaji curry,1,bowl,79.5,295,10,26.44,17.2,0.6,20,133,128.5,,3,4.5,,,,,,,,,,,,,
675,mutton keema,1,piece,25,93,4.9,6.5,5.2,0.1,40,72,149,,1,3,,,,,,,,,,,,,
676,Chicken savaji dry,half,plate,175,282,10,20,18,2.5,40,236,590,,3,12.5,,,,,,,,,,,,,
677,Chicken ghee roast,half,plate,175,282,10,20,18,2.5,40,236,590,,3,12.5,,,,,,,,,,,,,
